Date & Time,Asset,Direction,Exit Signal,Raw Trade P&L (%),Scaled Portfolio P&L (%),Compounded Equity ($),High Water Mark ($),Drawdown (%)
2024-08-02 12:00:00,SUI,Short,🛑 SL,-0.95%,-0.274%,97175.72,98013.99,-0.86%
2024-08-02 16:00:00,BONK,Short,🛑 SL,-1.44%,-0.415%,96772.85,98013.99,-1.27%
2024-08-02 16:00:00,DOGE,Short,🛑 SL,-0.83%,-0.239%,96541.61,98013.99,-1.50%
2024-08-02 16:00:00,ALGO,Short,🛑 SL,-0.80%,-0.230%,96319.25,98013.99,-1.73%
2024-08-02 16:00:00,BNB,Short,🛑 SL,-0.41%,-0.118%,96205.56,98013.99,-1.85%
2024-08-03 00:00:00,ADA,Short,Exit Short (Green),0.60%,0.173%,96371.74,98013.99,-1.68%
2024-08-03 00:00:00,BONK,Short,Exit Short (Green),-0.90%,-0.259%,96122.03,98013.99,-1.93%
2024-08-03 00:00:00,LTC,Short,Exit Short (Green),1.03%,0.297%,96407.07,98013.99,-1.64%
2024-08-03 08:00:00,ADA,Short,🛑 SL,-0.60%,-0.173%,96240.54,98013.99,-1.81%
2024-08-03 08:00:00,DOGE,Short,🛑 SL,-0.83%,-0.239%,96010.56,98013.99,-2.04%
2024-08-03 08:00:00,LTC,Short,🛑 SL,-0.50%,-0.144%,95872.36,98013.99,-2.19%
2024-08-03 20:00:00,SUI,Short,Exit Short (Green),1.21%,0.348%,96206.34,98013.99,-1.84%
2024-08-03 20:00:00,BONK,Short,Exit Short (Green),5.61%,1.615%,97760.18,98013.99,-0.26%
2024-08-03 20:00:00,ALGO,Short,Exit Short (Green),4.08%,1.175%,98908.51,98908.51,-0.00%
2024-08-04 12:00:00,LTC,Short,🛑 SL,-0.53%,-0.153%,98757.58,98908.51,-0.15%
2024-08-04 12:00:00,ADA,Short,🛑 SL,-0.63%,-0.181%,98578.46,98908.51,-0.33%
2024-08-04 16:00:00,ALGO,Short,Exit Short (Green),0.64%,0.184%,98760.1,98908.51,-0.15%
2024-08-04 20:00:00,LTC,Short,💰 TP,5.19%,1.494%,100235.77,100235.77,-0.00%
2024-08-04 20:00:00,ADA,Short,💰 TP,6.31%,1.817%,102056.7,102056.7,-0.00%
2024-08-07 20:00:00,ALGO,Short,🛑 SL,-0.86%,-0.248%,101804.02,102056.7,-0.25%
2024-08-11 16:00:00,LTC,Short,🛑 SL,-0.56%,-0.161%,101639.88,102056.7,-0.41%
2024-08-11 20:00:00,LTC,Short,🛑 SL,-0.56%,-0.161%,101476.02,102056.7,-0.57%
2024-08-12 00:00:00,DOGE,Short,Exit Short (Green),0.01%,0.003%,101478.94,102056.7,-0.57%
2024-08-12 00:00:00,BONK,Short,Exit Short (Green),3.91%,1.126%,102621.28,102621.28,-0.00%
2024-08-12 00:00:00,ADA,Short,Exit Short (Green),4.07%,1.172%,103823.74,103823.74,-0.00%
2024-08-12 20:00:00,BONK,Short,Exit Short (Green),-0.35%,-0.101%,103719.13,103823.74,-0.10%
2024-08-14 20:00:00,BONK,Short,Exit Short (Green),0.21%,0.060%,103781.83,103823.74,-0.04%
2024-08-15 00:00:00,DOGE,Short,Exit Short (Green),0.64%,0.184%,103973.06,103973.06,-0.00%
2024-08-15 08:00:00,SUI,Short,Exit Short (Green),0.33%,0.095%,104071.84,104071.84,-0.00%
2024-08-15 20:00:00,DOGE,Short,Exit Short (Green),1.13%,0.325%,104410.41,104410.41,-0.00%
2024-08-15 20:00:00,BONK,Short,Exit Short (Green),3.48%,1.002%,105456.49,105456.49,-0.00%
2024-08-15 20:00:00,ADA,Short,Exit Short (Green),1.87%,0.538%,106024.24,106024.24,-0.00%
2024-08-16 00:00:00,ALGO,Short,Exit Short (Green),1.08%,0.311%,106353.9,106353.9,-0.00%
2024-08-16 12:00:00,ADA,Short,🛑 SL,-0.68%,-0.196%,106145.69,106353.9,-0.20%
2024-08-16 16:00:00,DOGE,Short,Exit Short (Green),0.45%,0.130%,106283.21,106353.9,-0.07%
2024-08-16 16:00:00,BONK,Short,Exit Short (Green),1.00%,0.288%,106589.2,106589.2,-0.00%
2024-08-16 16:00:00,ALGO,Short,Exit Short (Green),0.97%,0.279%,106886.86,106886.86,-0.00%
2024-08-19 08:00:00,BONK,Short,🛑 SL,-1.75%,-0.504%,106348.34,106886.86,-0.50%
2024-08-21 08:00:00,LTC,Short,🛑 SL,-0.53%,-0.153%,106186.07,106886.86,-0.66%
2024-08-21 08:00:00,SUI,Short,🛑 SL,-1.05%,-0.302%,105865.07,106886.86,-0.96%
2024-08-26 12:00:00,LTC,Short,🛑 SL,-0.52%,-0.150%,105706.58,106886.86,-1.10%
2024-08-26 12:00:00,SUI,Short,🛑 SL,-0.91%,-0.262%,105429.64,106886.86,-1.36%
2024-08-27 00:00:00,DOGE,Short,Exit Short (Green),1.90%,0.547%,106006.36,106886.86,-0.82%
2024-08-27 00:00:00,LTC,Short,Exit Short (Green),0.17%,0.049%,106058.24,106886.86,-0.78%
2024-08-27 00:00:00,BTC,Long,Stop Loss,-8.27%,-2.481%,103426.93,106886.86,-3.24%
2024-08-27 00:00:00,BONK,Short,Exit Short (Green),1.54%,0.443%,103885.49,106886.86,-2.81%
2024-08-27 16:00:00,LTC,Short,💰 TP,5.15%,1.483%,105425.79,106886.86,-1.37%
2024-08-28 12:00:00,SUI,Short,🛑 SL,-1.05%,-0.302%,105107.09,106886.86,-1.67%
2024-08-30 00:00:00,SUI,Short,🛑 SL,-1.01%,-0.291%,104801.46,106886.86,-1.95%
2024-08-30 12:00:00,DOGE,Short,🛑 SL,-0.83%,-0.239%,104551.03,106886.86,-2.19%
2024-08-30 12:00:00,BNB,Short,🛑 SL,-0.47%,-0.135%,104409.56,106886.86,-2.32%
2024-08-30 12:00:00,SUI,Short,🛑 SL,-1.01%,-0.291%,104105.96,106886.86,-2.60%
2024-08-30 12:00:00,ALGO,Short,🛑 SL,-0.69%,-0.199%,103899.15,106886.86,-2.80%
2024-08-30 16:00:00,ADA,Short,Exit Short (Green),1.06%,0.305%,104216.22,106886.86,-2.50%
2024-08-30 16:00:00,BONK,Short,Exit Short (Green),1.14%,0.328%,104558.27,106886.86,-2.18%
2024-08-31 20:00:00,BONK,Short,Exit Short (Green),1.59%,0.458%,105036.9,106886.86,-1.73%
2024-09-01 00:00:00,ALGO,Short,🛑 SL,-0.70%,-0.202%,104825.21,106886.86,-1.93%
2024-09-01 08:00:00,ADA,Short,🛑 SL,-0.64%,-0.184%,104632.07,106886.86,-2.11%
2024-09-01 12:00:00,BONK,Short,Exit Short (Green),-0.95%,-0.274%,104345.89,106886.86,-2.38%
2024-09-01 12:00:00,BNB,Short,Exit Short (Green),0.21%,0.060%,104408.98,106886.86,-2.32%
2024-09-01 12:00:00,DOGE,Short,🛑 SL,-0.82%,-0.236%,104162.49,106886.86,-2.55%
2024-09-01 16:00:00,ALGO,Short,Exit Short (Green),0.32%,0.092%,104258.46,106886.86,-2.46%
2024-09-01 16:00:00,ADA,Short,🛑 SL,-0.64%,-0.184%,104066.35,106886.86,-2.64%
2024-09-01 20:00:00,SUI,Short,🛑 SL,-1.02%,-0.294%,103760.75,106886.86,-2.92%
2024-09-02 00:00:00,DOGE,Short,Exit Short (Green),1.81%,0.521%,104301.45,106886.86,-2.42%
2024-09-02 00:00:00,BONK,Short,Exit Short (Green),1.13%,0.325%,104640.77,106886.86,-2.10%
2024-09-02 08:00:00,ALGO,Short,🛑 SL,-0.69%,-0.199%,104432.9,106886.86,-2.30%
2024-09-02 12:00:00,DOGE,Short,Exit Short (Green),-0.39%,-0.112%,104315.64,106886.86,-2.41%
2024-09-02 12:00:00,BONK,Short,🛑 SL,-1.66%,-0.478%,103817.1,106886.86,-2.87%
2024-09-02 16:00:00,BNB,Short,🛑 SL,-0.47%,-0.135%,103676.63,106886.86,-3.00%
2024-09-03 16:00:00,ADA,Short,Exit Short (Green),0.12%,0.035%,103712.44,106886.86,-2.97%
2024-09-03 20:00:00,LTC,Short,🛑 SL,-0.53%,-0.153%,103554.19,106886.86,-3.12%
2024-09-03 20:00:00,ALGO,Short,🛑 SL,-0.72%,-0.207%,103339.54,106886.86,-3.32%
2024-09-03 20:00:00,BNB,Short,🛑 SL,-0.50%,-0.144%,103190.78,106886.86,-3.46%
2024-09-03 20:00:00,DOGE,Short,🛑 SL,-0.83%,-0.239%,102944.2,106886.86,-3.69%
2024-09-04 00:00:00,ALGO,Short,🛑 SL,-0.72%,-0.207%,102730.81,106886.86,-3.89%
2024-09-04 00:00:00,BONK,Short,🛑 SL,-1.72%,-0.495%,102222.1,106886.86,-4.36%
2024-09-04 00:00:00,SUI,Short,🛑 SL,-0.99%,-0.285%,101930.74,106886.86,-4.64%
2024-09-04 08:00:00,ALGO,Short,🛑 SL,-0.72%,-0.207%,101719.45,106886.86,-4.83%
2024-09-04 08:00:00,BONK,Short,🛑 SL,-1.72%,-0.495%,101215.75,106886.86,-5.31%
2024-09-04 08:00:00,BNB,Short,🛑 SL,-0.50%,-0.144%,101070.05,106886.86,-5.44%
2024-09-04 20:00:00,ADA,Short,Exit Short (Green),0.62%,0.178%,101250.46,106886.86,-5.27%
2024-09-05 00:00:00,BNB,Short,🛑 SL,-0.50%,-0.144%,101104.71,106886.86,-5.41%
2024-09-06 00:00:00,BONK,Short,Exit Short (Green),-1.34%,-0.386%,100714.66,106886.86,-5.77%
